Cat,Size,Enrl,Title
97,0,5,Intermediate Algebra
102,0,10,Quantitative Reasoning
110,33,48,College Algebra
111,0,4,Trigonometry
112,80,89,Calculus 1
113,65,55,Calculus 2
116,0,7,Essentials of Calculus
213,120,67,Elementary Linear Algebra
215,90,69,Computational Linear Algebra
314,66,46,Calculus of Several Variables
334,82,39,Ordinary Differential Equation
341,40,29,Theory of Analysis 1
352,40,8,Intro to Complex Analysis
391R,0,0,Seminar in Math
399R,10,1,Academic Internship
495R,20,3,Readings in Math
695R,40,3,Readings in Math
698R,10,1,Master's Project
699R,20,10,Master's Thesis
799R,20,0,Doctoral Dissertation
